id,Date,Count,Distance,minute,avr-temp,min-temp,max-temp,rainfall,humidity,sunshine,snow1,snow2,mist,weekday
1,2021-01-01,14774,45629376.52,688585,-4.2,-9.8,1.6,0,64,6.5,0,0,0,1
2,2021-01-02,15333,43532094.05,679373,-5,-8.4,-1.4,0,38.5,9,0,0,0,0
3,2021-01-03,14398,40116607.53,604210,-5.6,-9.1,-2,0,45,5.5,0,0,0,0
4,2021-01-04,18325,52352615.87,747143,-3.5,-8.4,0.3,0,51.4,4.6,0,0,0,1
5,2021-01-05,16737,69263717.66,608854,-5.5,-9.9,-2.1,0,52.8,8.6,0,0,0,1
6,2021-01-06,14020,51447238.96,460094,-7.4,-12,-1.9,2.3,54.6,9.1,3.8,3.8,0,1
7,2021-01-07,4490,9753290.66,106017,-14.5,-16.5,-8.4,0,49.9,0,0,3.3,0,1
8,2021-01-08,6033,14038467.06,156623,-14.9,-18.6,-10.7,0,44,9.2,0,1.1,0,1
9,2021-01-09,6890,19673875.39,202408,-12.2,-16.6,-7.5,0,46.3,9,0,1,0,0
10,2021-01-10,8139,29978109.98,276861,-7.7,-12.8,-2.7,0,54.4,6.2,0,0.7,0,0
11,2021-01-11,12291,43939815.51,414451,-6.7,-9.6,-4,0,62.1,0,0,0.4,0,1
12,2021-01-12,9230,28238266.77,269136,-3.9,-9.3,-0.5,2.6,79.5,3.6,5,5.1,0,1
13,2021-01-13,12685,50688152.36,486452,2,-3,8.3,0,80.3,6.1,0,5,0,1
14,2021-01-14,18333,88835096.72,791017,1.7,-3.6,7,0,46.5,8,0,0,0,1
15,2021-01-15,18284,82064922.67,736378,4.5,-0.7,9.9,0.2,67.4,0,0,0,0,1
16,2021-01-16,14733,65842263.25,576920,-4.9,-8.7,-0.7,0,59.3,8.9,0,0,0,0
17,2021-01-17,12307,55429041.55,475515,-5.5,-10.8,-1.3,0,58.5,7,0.1,0.1,0,0
18,2021-01-18,11439,38132540.09,337725,-3.8,-9.1,0.2,0.3,64.3,2.5,0.9,1,0,1
19,2021-01-19,15679,63386365.26,561627,-6.3,-11.6,-0.2,0,37.9,9.2,0,0,0,1
20,2021-01-20,19765,99769869.57,851960,-0.1,-6.6,7.1,0,37.8,8.9,0,0,0,1
21,2021-01-21,11918,39338345.22,342970,4.5,2.5,7,9.2,64.4,0,0,0,0,1
22,2021-01-22,19205,93000899.5,825241,5.5,4.8,6.6,0.1,92.9,0,0,0,2.38,1
23,2021-01-23,23353,154329281.5,1335080,7.6,4.8,12.2,0,66,5.3,0,0,0,0
24,2021-01-24,25139,215463094.7,1827129,7.3,2.4,13.9,0,63.9,8.2,0,0,0,0
25,2021-01-25,25687,175490780.8,1462335,7.9,3,13.9,0,62,7.6,0,0,0,1
26,2021-01-26,15705,67532604.17,562972,5.3,1.7,7.4,1.7,80.4,0,0,0,0,1
27,2021-01-27,22831,129983562,1100363,1.7,-1.8,6.5,0,47.6,8.4,0,0,0,1
28,2021-01-28,13895,48583941.57,422796,-2.6,-9.7,1.4,2,52.3,2.3,3.6,3.6,0,1
29,2021-01-29,14539,52762809.61,476159,-8.8,-11.6,-4.9,0,40,9.6,0,0.7,0,1
30,2021-01-30,17226,87326384.35,774756,-1.6,-8.1,5.2,0.5,60,6.4,0.8,0.8,0,0
31,2021-01-31,21248,146040188.5,1239672,3.2,-3.8,8.7,0,57,6.7,0,0,0,0
32,2021-02-01,21174,111412143.5,958826,5,-2.3,9.5,0.7,74.5,1.1,0,0,0,1
33,2021-02-02,17194,71258836.25,622910,-5.6,-8.2,-2.4,0,44.1,9.6,0,0,0,1
34,2021-02-03,17432,72399821.76,645265,-3.2,-9.4,1.4,3.4,64.6,6.6,4.2,4.2,0,1
35,2021-02-04,12582,46633612.74,440260,-3.6,-7.4,0.7,0.1,50.1,9.6,0.2,4.3,0,1
36,2021-02-05,19932,98156571.52,876084,1.4,-4.4,6.7,0,71.8,2.7,0,1.4,0,1
37,2021-02-06,22119,138615714.1,1210021,6.8,4.3,9.5,0,80.4,0.1,0,0,0,0
38,2021-02-07,20382,125970333.9,1071929,3.6,-2.6,7.7,0,67,6,0,0,0.72,0
39,2021-02-08,18509,82694608.28,724882,-3.1,-5.4,0.2,0,43.6,9.6,0,0,0,1
40,2021-02-09,21146,107684714.4,934706,-0.9,-6.1,4.7,0,51.9,9.7,0,0,0,1
41,2021-02-10,23345,129051961.2,1127993,3.4,-1.5,7.2,0,75.1,0.7,0,0,0,1
42,2021-02-11,21118,140815646.4,1214746,5.5,1.3,10.9,0,71.5,5.2,0,0,0,1
43,2021-02-12,20971,173353179.7,1442390,6.5,0.6,14,0,60.6,9.2,0,0,0,1
44,2021-02-13,25124,223454011.7,1891523,7.6,1,15.9,0,50.6,9.3,0,0,0,0
45,2021-02-14,23142,172240137.4,1458160,9.5,6.4,13.8,0,47.6,1.7,0,0,0,0
46,2021-02-15,17931,78701403.93,710892,1.2,-5.2,8.2,1.4,65.1,4.3,0,0,0,1
47,2021-02-16,13715,48770830.15,427687,-5.1,-7,-1.3,1.5,57.9,2.8,1.1,1.1,0,1
48,2021-02-17,13892,45348206.2,423846,-8.3,-10.4,-5.2,0,44.1,9.8,0,0.9,0,1
49,2021-02-18,16958,68506096.1,605540,-5.8,-10.6,-0.4,0,44.9,9.9,0,0.2,0,1
50,2021-02-19,22740,123698958.4,1079799,1.6,-7.1,8.9,0,66.9,8.9,0,0,0,1
51,2021-02-20,27985,230826193.6,2021471,8.8,5.5,14.9,0,60.4,7.8,0,0,0,0
52,2021-02-21,30084,312449180.7,2696728,10.8,4.7,17.4,0,66.6,9.7,0,0,0,0
53,2021-02-22,25398,160554311,1359190,7.8,0.4,12.6,0,58.3,6.3,0,0,0,1
54,2021-02-23,22332,117908780.6,1010149,0,-3.1,4.3,0,34,10,0,0,0,1
55,2021-02-24,25326,156023047.5,1324295,2.9,-3,10.1,0,33,8.4,0,0,0,1
56,2021-02-25,24970,146002806.9,1255575,4.2,0.7,8.2,0,35.1,0,0,0,0,1
57,2021-02-26,28821,215647853.4,1847538,8.2,0.5,15.8,0,35,9.1,0,0,0,1
58,2021-02-27,31218,306501007,2719229,9.5,4.3,16.2,0,48.6,10.3,0,0,0,0
59,2021-02-28,28267,258402049.7,2252851,7.8,3.2,10.8,0,49,2.6,0,0,0,0
60,2021-03-01,2539,7630428.64,66897,4.7,0.5,9,67.5,91,0,2.3,2.3,0,1
61,2021-03-02,23564,137678621.5,1211922,2.3,0.2,6.9,0.1,75.9,4.7,0,2.3,0,1
62,2021-03-03,27074,172533769.5,1487589,4.4,-1.2,9.9,0,64.4,10.4,0,0,0,1
63,2021-03-04,28087,185871393.6,1592465,7.2,2.5,13,0,62.4,1.9,0,0,0,1
64,2021-03-05,30578,234814909.7,2042128,9,3,16.2,0,70.3,10.5,0,0,0,1
65,2021-03-06,28252,206764974.1,1860237,6.6,3.2,11.6,0,69.5,3.6,0,0,0,0
66,2021-03-07,30714,284287743.6,2494309,6.2,2.1,12.2,0,62.9,9.6,0,0,0,0
